requirement_id	phase	status	verification_method	local_evidence	retained_artifact_inputs	remaining_release_gap
ODS-FR-DNSSEC-001	MVP	partial	conformance-test	scripts/interop-dnssec-serve.sh; scripts/interop-dnssec-nsec3-serve.sh; scripts/interop-knot-dnssec-docker.sh; crates/oxidedns-core/src/axfr.rs; crates/oxidedns-core/src/dns.rs	dnssec-serve-summary.env; dnssec-nsec3-summary.env; knot-dnssec primary-version artifacts	Add release snapshot paths proving parsing, storage, serving, and RRSIG type-covered matching for DNSKEY RRSIG NSEC DS NSEC3 and NSEC3PARAM.
ODS-FR-DNSSEC-002	MVP	partial	conformance-test	crates/oxidedns-core/src/dns.rs; scripts/interop-dnssec-serve.sh; scripts/interop-dnssec-nsec3-serve.sh	dnssec-client.log; nsec3-client.log	Add release snapshot paths for DO=1, DO=0, and no-OPT behavior across each DNSSEC response category.
ODS-FR-DNSSEC-003	MVP	partial	conformance-test	crates/oxidedns-core/src/zone.rs; crates/oxidedns-core/src/dns.rs; scripts/interop-dnssec-serve.sh; scripts/interop-knot-dnssec-docker.sh	dnssec-client.log; knot DNSSEC query artifacts	Add release evidence that RRSIG records are selected by type-covered field for answer, authority, and additional sections under normal and size-limited responses.
ODS-FR-DNSSEC-004	MVP	partial	conformance-test	crates/oxidedns-core/src/zone.rs; crates/oxidedns-core/src/dns.rs; scripts/interop-dnssec-serve.sh; scripts/interop-dnssec-nsec3-serve.sh; scripts/interop-knot-dnssec-docker.sh	dnssec-client.log; nsec3-client.log; knot DNSSEC query artifacts	Retain release query and response artifacts for both NSEC and NSEC3 NXDOMAIN proof records.
ODS-FR-DNSSEC-005	MVP	partial	conformance-test	crates/oxidedns-core/src/zone.rs; crates/oxidedns-core/src/dns.rs; scripts/interop-dnssec-serve.sh; scripts/interop-dnssec-nsec3-serve.sh; scripts/interop-knot-dnssec-docker.sh	dnssec-client.log; nsec3-client.log; knot DNSSEC query artifacts	Broaden release-retained NODATA proof artifacts for NSEC and NSEC3 with explicit proof-record detail.
ODS-FR-DNSSEC-006	MVP	partial	conformance-test	crates/oxidedns-core/src/zone.rs; crates/oxidedns-core/src/dns.rs; scripts/interop-dnssec-serve.sh; scripts/interop-knot-dnssec-docker.sh	dnssec-client.log; knot DNSSEC query artifacts	Add release-review query and response records for wildcard exact-name absence proofs, including NSEC3 signed-primary behavior.
ODS-FR-DNSSEC-007	MVP	partial	conformance-test	crates/oxidedns-core/src/zone.rs; crates/oxidedns-core/src/dns.rs; scripts/interop-dnssec-serve.sh; scripts/interop-knot-dnssec-docker.sh	dnssec-client.log; knot DNSSEC query artifacts	Add release-review query and response records for signed-child DS referral and unsigned-child no-DS proofs.
ODS-FR-DNSSEC-008	MVP	partial	conformance-test	crates/oxidedns-core/src/dns.rs; scripts/interop-dnssec-serve.sh; scripts/interop-dnssec-nsec3-serve.sh	dnssec-client.log; nsec3-client.log	Add release snapshot paths for non-DO suppression and explicit DNSSEC QTYPE exceptions across all authoritative response categories.
ODS-FR-DNSSEC-009	MVP	partial	conformance-test	docs/OxideDNS-Secondary-SRS-v0.9.md; docs/implementation-plan.md; crates/oxidedns-core/src/dns.rs; scripts/interop-dnssec-serve.sh; scripts/interop-dnssec-nsec3-serve.sh	legacy dnssec-client.log; legacy nsec3-client.log	SRS cleanup corrected response DO-bit handling to RFC 6840 query-DO copy semantics; release work must update implementation and replace legacy augmentation-derived evidence across augmented, non-augmented, explicit-type, unsigned-zone, error, and truncation cases.
ODS-FR-DNSSEC-010	MVP	partial	conformance-test	crates/oxidedns-core/src/dns.rs; scripts/interop-dnssec-serve.sh; scripts/interop-dnssec-nsec3-serve.sh	dnssec-client.log; nsec3-client.log	Add release snapshot paths showing AD=0 for all authoritative categories and retained AD-set client-query cases.
ODS-FR-DNSSEC-011	MVP	partial	conformance-test	crates/oxidedns-core/src/dns.rs; scripts/interop-dnssec-serve.sh; scripts/interop-dnssec-nsec3-serve.sh	dnssec-client.log; nsec3-client.log	Add release snapshot paths showing CD=0 for all authoritative categories and retained CD-set client-query cases.
ODS-FR-DNSSEC-012	MVP	partial	conformance-test	crates/oxidedns-core/src/axfr.rs::accepts_axfr_dnssec_algorithm_numbers_opaquely; crates/oxidedns-core/src/dns.rs	cargo test -p oxidedns-core accepts_axfr_dnssec_algorithm_numbers_opaquely	Add IXFR-specific retained artifacts and release logs showing DS DNSKEY and RRSIG algorithm-number opacity.
ODS-FR-DNSSEC-013	MVP	partial	static-analysis	scripts/audit-dnssec-passive.sh; scripts/check.sh; scripts/release-evidence-snapshot.sh; docs/operator-deployment-guide.md	dnssec_passive_audit output; release evidence snapshot logs	Add retained release artifacts and independent code-review signoff proving no DNSSEC signing, validation, key-management, rollover, or record-generation surface.
ODS-FR-DNSSEC-014	MVP	partial	conformance-test	crates/oxidedns-core/src/dns.rs::nsec3_iterations_over_cap_omits_proofs_and_emits_ede_when_enabled; crates/oxidedns-core/src/config.rs::parses_edns_and_dnssec_settings; crates/oxidedns-server/src/lib.rs::query_metrics_count_response_rcodes_for_queries_only	cargo test -p oxidedns-core nsec3_iterations_over_cap_omits_proofs_and_emits_ede_when_enabled; cargo test -p oxidedns-server query_metrics_count_response_rcodes_for_queries_only	Add retained release artifacts for at/below/above-cap real signed zones; decide and evidence the v0.9 per-zone warning/per-zone metric acceptance posture.
